Name,x,y,z,pitch,yaw,roll
home,131.03890991210938,62.489871978759766,0.27530714869499207,0.0,-0.14739990234375,0.0
work,115.53240203857422,-76.35523986816406,8.305596351623535,0.0,-178.49087524414062,0.0
school,128.56423950195312,-190.39999389648438,0.27530714869499207,0.0,0.0,0.0
bar,204.70285034179688,58.80038833618164,0.27530714869499207,0.0,179.85255432128906,0.0
gym,-9.948439598083496,70.05980682373047,0.27530714869499207,0.0,89.63746643066406,0.0
theater,-88.16754913330078,36.74227523803711,0.5812947154045105,0.0,89.78770446777344,0.0
cafe,-117.49345397949219,-3.2214934825897217,0.27530714869499207,0.0,-179.7053985595703,0.0
park,-21.252513885498047,11.105012893676758,0.27530714869499207,0.0,61.806827545166016,0.0
university,86.20638275146484,7.808422565460205,0.27530714869499207,0.0,0.8558230400085449,0.0
gas_station,-13.931132316589355,168.72802734375,0.27530714869499207,0.0,168.90008544921875,0.0
restaurant,-145.56019592285156,99.70096588134766,0.27530714869499207,0.0,-89.97014617919922,0.0
